Organization,Followed On
The Young Economist,Fri Dec 02 19:28:22 UTC 2022
Carnegie Mellon University's College of Engineering,Fri Nov 25 20:25:29 UTC 2022
Carnegie Mellon University CyLab,Fri Nov 25 20:25:25 UTC 2022
Hub Init,Tue Nov 22 07:06:13 UTC 2022
GWC Tech Hub Limited,Fri Oct 14 05:03:13 UTC 2022
AIONEM.ɴᴇᴛ,Wed Oct 05 18:01:57 UTC 2022
CERTITUDE Engineering,Mon Sep 19 16:11:34 UTC 2022
Iris Hub,Mon Sep 19 16:11:31 UTC 2022
ETITE Ltd -  Technology Company,Sun Aug 28 15:44:14 UTC 2022
Chajio Cloud,Sat Aug 13 05:54:02 UTC 2022
Gotis Transport,Fri Aug 12 07:51:14 UTC 2022
TechFyBiz,Thu Aug 04 13:26:29 UTC 2022
AIONEM.ɪᴛ,Mon Jul 04 04:46:36 UTC 2022
IAHPO,Wed Jun 29 20:54:52 UTC 2022
3D UX & UI Design,Mon Jun 13 11:35:10 UTC 2022
Jobs & Interships Messanger,Mon Jun 13 11:34:57 UTC 2022
"aduki, Inc.",Sun Jun 05 19:55:47 UTC 2022
Vuga Ukire Initiative,Fri Jun 03 18:56:37 UTC 2022
International Business Administration Institute (IBAI),Thu Jun 02 09:49:46 UTC 2022
Zeon IT Hub,Mon Apr 04 13:10:51 UTC 2022
SOMA FOUNDATION RWANDA,Fri Apr 01 06:52:02 UTC 2022
Irembo ,Wed Mar 02 13:38:49 UTC 2022
ITARATEC,Tue Mar 01 09:58:11 UTC 2022
National Cyber Security Authority,Mon Feb 28 19:50:38 UTC 2022
BPR Bank Rwanda Plc,Sat Feb 26 13:43:15 UTC 2022
SOLVIT AFRICA,Thu Feb 17 09:25:48 UTC 2022
Bluemoric,Tue Feb 01 10:55:30 UTC 2022
ATradezone.com,Tue Jan 04 06:11:05 UTC 2022
One World Coders,Sun Nov 21 12:18:46 UTC 2021
COSTLAB,Tue Sep 28 13:30:57 UTC 2021
250STARTUPS INCUBATOR,Sat Sep 04 09:24:46 UTC 2021
Access to Finance Rwanda,Mon Jun 14 11:41:32 UTC 2021
Bank of Kigali Plc,Mon Jun 14 11:41:30 UTC 2021
Job in Rwanda,Mon Jun 14 11:41:23 UTC 2021
Guaranty Trust Bank (Rwanda) plc,Mon Jun 14 11:15:06 UTC 2021
Rohde & Schwarz,Mon Mar 08 12:35:00 UTC 2021
Carnegie Mellon University Africa,Tue Mar 02 10:15:09 UTC 2021
Mastercard Foundation Scholars Programme at the University of Edinburgh,Fri Dec 25 10:57:29 UTC 2020
RWANDATEL SA,Sat Sep 21 21:11:01 UTC 2019
World Health Organization,Fri Jul 13 19:13:45 UTC 2018
G5 Business Makers Program,Thu Jul 05 14:26:04 UTC 2018
Muraho Technology,Thu Jul 05 14:26:02 UTC 2018
Business Skills Solutions part of Newham College,Thu Jun 21 11:05:44 UTC 2018
MTN Rwanda,Tue Jun 05 05:22:59 UTC 2018
Financial Times,Fri Jun 01 09:27:18 UTC 2018
Aviation Week Network,Fri Jun 01 09:27:17 UTC 2018
VENTURES AFRICA,Fri Jun 01 09:26:48 UTC 2018